,logFC,P.Value,adj.P.Val
ZNF667,-2.1380248,0.03535808,0.778655547
RPL12,-1.132043,0.035395842,0.779178317
FABP5L3,-3.1840734,0.03543737,0.779629149
DGKI,-1.972891,0.03550744,0.7803982
TRIM24,-1.0562558,0.035515665,0.780270309
MOBKL2B,-2.3474379,0.035540615,0.780355612
OSCAR,-1.4959962,0.035542604,0.780245127
MAFF,-1.7308029,0.035550546,0.780111248
USP48,-1.1598849,0.035592111,0.780252942
ATP6V1G1,-1.480433,0.035598657,0.78024252
MYST4,-2.5777564,0.035672094,0.780466652
SH2D4B,-1.207763,0.035684275,0.780425835
VDAC1,-1.2704012,0.035689576,0.780388184
TAGLN,-3.4353688,0.035730051,0.780965854
ZBTB43,-1.7386163,0.035801934,0.780847556
MACROD2,-4.0955906,0.035817311,0.780876413
FXN,-1.2300057,0.035861735,0.781231829
RGS20,-1.5581559,0.035867971,0.781061438
CPS1,-1.5385721,0.035871421,0.780830541
CDC14B,-3.8157692,0.035912864,0.780662214
ODF2L,-1.682611,0.035929607,0.780720716
OR51A7,-1.5127797,0.036056047,0.782244449
PTRH2,-1.6372234,0.036059199,0.782160141
ERC1,-1.4318489,0.036064564,0.781971223
OXGR1,-1.8558767,0.036067835,0.781889589
HACL1,-1.3428754,0.03607547,0.78175009
PDLIM7,-1.3202484,0.036080895,0.781715208
PTPRD,-2.338098,0.036087457,0.781704968
LOC162632,-1.9211297,0.036095926,0.781583701
ARAP3,-2.0246887,0.036114973,0.781843787
RBMS3,-3.9090207,0.036138834,0.782055624
IGF2R,-2.7281892,0.036141234,0.781955276
LPHN2,-3.3354423,0.036159448,0.782044838
INGX,-1.4380038,0.036170436,0.781825978
KPNA1,-1.1551337,0.036198323,0.781820463
MAGT1,-1.6857299,0.036199656,0.781697324
ATP5G3,-1.262546,0.036202245,0.781601337
KCNE1L,-1.5529133,0.036214419,0.781712298
PRPF4,-1.40757,0.036219877,0.78152648
DDX6,-2.1032083,0.03627194,0.782194219
PTX3,-3.969232,0.036279763,0.782059375
ZNF521,-4.9744287,0.03631099,0.781974057
DPPA4,-1.841213,0.036345252,0.781651528
ANKRD28,-1.5726697,0.036382501,0.781998591
SEMA6D,-2.4181774,0.036395338,0.781971986
POU3F1,-1.1623265,0.036398752,0.781894162
ASPA,-2.0339518,0.036412144,0.781577483
SLC35D1,-1.5414196,0.036421398,0.781474214
SLC25A37,-1.8474423,0.036474732,0.781712956
ISG20,-1.6056865,0.03647495,0.781566884
LOC220594,-2.0598185,0.036488442,0.781403965
RICH2,-4.3996477,0.036583848,0.782542233
SGK269,-1.3818978,0.036621783,0.782901566
AGGF1,-1.6711876,0.036683535,0.784070871
SLC39A14,-2.0178812,0.03668556,0.783963352
ARMC8,-1.5406148,0.036693384,0.783979792
DEFB4A,-1.1895285,0.036705121,0.783778467
SHISA9,-1.574529,0.036705915,0.783644831
KDM5B,-1.5963259,0.036721793,0.783682706
KRT86,-1.9391326,0.036730995,0.783578104
MSRA,-1.4927928,0.036733752,0.783486502
MIER2,-1.4495546,0.036736555,0.783395936
MAP1B,-4.287429,0.036747868,0.783486827
CCDC113,-1.5840728,0.036772179,0.783704425
RGMA,-5.2503924,0.036788283,0.783897297
MOV10L1,-1.2826041,0.0368074,0.784154284
CBR1,-1.2312256,0.03684532,0.784661258
CDK14,-2.2583544,0.036884461,0.785193867
LOC151658,-1.3697222,0.036897211,0.785164457
BRDT,-1.7152835,0.036906795,0.785067716
PITX2,-5.336569,0.036912287,0.785034263
CUL1,-1.0513617,0.036918338,0.785012718
CHI3L1,-6.7291446,0.036959114,0.784828513
NOTCH2NL,-1.5346385,0.036980459,0.784831837
LOC284344,-1.7611428,0.037002497,0.785149597
MEX3B,-3.1098568,0.037019579,0.785362097
LOC100128186,-1.3354619,0.037076887,0.785528102
FICD,-1.6335876,0.037084056,0.785530224
FKSG83,-1.0811346,0.037105442,0.785234825
NRP2,-2.5170383,0.037111071,0.785054922
VGLL3,-1.1031538,0.03712951,0.785146069
POLR3A,-1.6513253,0.037141987,0.785260469
PCDHB12,-2.5160851,0.037156402,0.785415804
BAG5,-1.2765205,0.037161938,0.785383433
RIMS2,-2.9081724,0.037179205,0.785449587
LRRN4,-1.1184127,0.037197409,0.785386216
HSF2,-1.1278769,0.037205858,0.785266213
CASP8,-1.0510926,0.03721784,0.785369933
SF3B1,-1.2859043,0.037237517,0.785486817
FBN1,-2.1321678,0.037266558,0.785502989
UTP23,-2.0763488,0.037292599,0.785902804
TRIM55,-1.3042957,0.037307967,0.785928564
OPN1SW,-1.0622777,0.037330846,0.786112478
LIPF,-1.5810238,0.037332432,0.785996943
GRIN2A,-3.9355752,0.037332976,0.785859497
CLCA2,-2.9834874,0.037340823,0.785875812
TMEM22,-2.4029856,0.037374078,0.785682865
NAA50,-1.4321349,0.037376574,0.785586728
ETV7,-2.0243495,0.037440731,0.786340273
SERF1B,-1.432623,0.037455279,0.785903129
SERF1A,-1.432623,0.037455279,0.785903129
GCC2,-1.472993,0.037461711,0.785741361
PCDHB6,-1.8378322,0.03748854,0.786007371
CEP170,-1.7350327,0.037501692,0.786134792
C13orf26,-1.2496226,0.037507521,0.78596045
VASH1,-1.6100585,0.037592812,0.785821301
DNAH12,-1.5332483,0.037597191,0.785765025
LOC390414,-1.0338366,0.037612235,0.785783874
SPATA7,-1.5473834,0.037641459,0.785803475
XPNPEP2,-1.3389122,0.037652727,0.785743477
CPA4,-2.2049131,0.037695021,0.785888149
ACTR3B,-2.1344442,0.037733982,0.786257882
NUAK1,-3.7486174,0.037835707,0.787639054
RPL37A,-1.7567451,0.037839407,0.787568532
C1orf183,-1.410189,0.037908092,0.787964997
RPS6KB1,-1.8647592,0.037913835,0.787789659
HTR2A,-1.9772775,0.037991343,0.788957585
GIPR,-1.2806451,0.03805449,0.789236481
OR2A14,-1.1381049,0.038055899,0.78911842
SH3BP5,-1.6448538,0.038074413,0.789207787
P2RY1,-2.8946793,0.038080696,0.789043675
POM121L9P,-1.2917525,0.038087061,0.788881352
LOC400794,-1.0978727,0.038087307,0.788739445
FNDC4,-2.5190206,0.038113789,0.788553067
ZNF366,-1.3011903,0.038174546,0.789222338
ITPRIP,-2.5647624,0.038179892,0.789186036
UGCG,-1.5061803,0.038179909,0.789039615
HERC6,-3.316835,0.038180117,0.78889721
RNF213,-1.4636737,0.038213816,0.789153302
SCPEP1,-1.5721798,0.038215686,0.789045276
TMF1,-1.5742205,0.038277862,0.789595485
C9orf79,-1.0683521,0.038299726,0.789753282
RAB27A,-1.2792423,0.038338793,0.789826055
TMEM127,-1.2517467,0.038362335,0.789579132
UPP1,-1.8182213,0.038382771,0.789853463
LHFPL2,-1.9198761,0.038386345,0.789780753
COMMD8,-1.8047091,0.038409028,0.78995491
SLC5A3,-1.7805201,0.038419003,0.790013847
GTPBP8,-1.8628696,0.038430594,0.790105987
MTERFD2,-1.3336761,0.03843654,0.789935938
PRKAG3,-1.6732932,0.038448353,0.789886546
LOC149351,-2.3061416,0.038471892,0.789932021
GJB4,-1.148086,0.038524804,0.789413945
CXCL16,-1.3393583,0.038536759,0.789222312
TLE1,-1.3620166,0.03854188,0.789181755
TLE4,-1.3778565,0.038556117,0.789327814
PAK3,-4.178887,0.038574394,0.789265776
FLJ35409,-1.1779141,0.038576743,0.789168525
TRMT6,-1.8041986,0.038673747,0.79013472
DSG3,-13.830853,0.038696354,0.790306008
HAND2,-4.0853367,0.0387349,0.790657292
LHX6,-1.9316471,0.038743394,0.790250039
C3orf64,-2.7380266,0.038806723,0.790526018
CYP19A1,-3.228284,0.038866045,0.791299279
LINGO2,-1.8600934,0.038880208,0.791007936
FAM176A,-4.376362,0.03892736,0.791098205
CLEC1B,-1.604466,0.038974735,0.791771393
POGZ,-2.0561566,0.038985279,0.791696114
CYP7A1,-1.4207711,0.038998729,0.791679907
DNM1L,-1.2120159,0.039009978,0.791619021
SPON2,-6.7411103,0.039043327,0.791861954
EYA3,-1.4385358,0.03904454,0.791742039
DCP2,-1.3898633,0.039056575,0.791841586
RBMXL1,-1.4267039,0.039065948,0.791887144
CADPS,-2.4622777,0.039084617,0.79197664
MRC2,-1.8784722,0.039144747,0.792616923
NR1D1,-1.6372255,0.039150451,0.792299321
PPP3R1,-1.4514912,0.039173977,0.792198343
TRD@,-2.1388073,0.039175196,0.792078842
MAGEL2,-2.298974,0.039186345,0.791728042
ESAM,-1.7002224,0.039190489,0.791667828
TIE1,-1.5830806,0.039206855,0.791854474
ABHD12B,-2.455816,0.039224351,0.791344874
COX11,-1.9248303,0.039248975,0.79141061
TSLP,-1.6461209,0.039283898,0.791253317
ZNF334,-1.6662141,0.039289291,0.79121853
MYF6,-1.5760317,0.039292112,0.791131968
RALGAPA1,-1.7341175,0.039303722,0.791079063
LAPTM4B,-2.8764026,0.03934272,0.790718228
HIATL1,-1.3453616,0.039365646,0.79089291
AK5,-3.4221125,0.039373845,0.790771687
WDR43,-1.546207,0.039418747,0.791101579
HMMR,-1.4611868,0.039456562,0.791288864
MRPS30,-1.5019133,0.039461823,0.791108816
ID4,-4.3542447,0.039480178,0.791191316
TTLL7,-2.7950227,0.039560726,0.791520811
BHLHE41,-3.1287465,0.039565489,0.79133115
COL3A1,-4.111133,0.039587082,0.79133572
ROBO1,-2.3155537,0.039592349,0.791298678
OTP,-1.1570287,0.039597428,0.791257861
KCMF1,-1.2707694,0.039629423,0.79104371
CDC14C,-3.24247,0.039634417,0.790859275
ADAT1,-1.0873829,0.03964248,0.790736186
SFT2D2,-1.2825439,0.039643246,0.790609555
PI3,-1.5400134,0.03965627,0.790301944
DMRT2,-6.9419665,0.039685274,0.790313038
RNF122,-1.9998026,0.039706399,0.790308834
ARNTL2,-3.5519788,0.039761498,0.789425939
QKI,-3.1585321,0.039772628,0.789505854
TCEAL7,-1.886101,0.03981689,0.789538241
TAOK3,-1.3027338,0.039819953,0.789458105
EXTL2,-1.4188801,0.039822407,0.789365915
PDE8A,-1.7390249,0.039842544,0.789342658
LSM12,-1.8344411,0.039872158,0.789788561
CCDC3,-2.062859,0.039879609,0.789795365
CRABP1,-2.0334413,0.039889879,0.789717275
LRRC37A4,-1.6499816,0.039910482,0.789984422
MCTP1,-1.9684126,0.039939014,0.7899863
PRAC,-1.1257002,0.039943171,0.789927929
ARSI,-1.8679166,0.039951378,0.789809109
NR5A2,-1.8339281,0.039962842,0.789754731
LOC100131540,-1.2518785,0.040064532,0.790218499
CLEC14A,-2.5992613,0.040090894,0.790317616
RGAG1,-1.2794825,0.040097689,0.79017121
C1orf109,-1.1330762,0.040109785,0.790269445
ATRN,-1.7830731,0.040115194,0.790235903
HOXB5,-1.6398985,0.040116304,0.790117706
RPP40,-1.7483149,0.040174579,0.790145096
TCHH,-1.6538961,0.040178365,0.789939921
CLCA4,-1.2956203,0.040189965,0.789888492
ITGA9,-1.3498224,0.040194233,0.789832678
PLAGL1,-1.5958027,0.04019532,0.789714387
SNAPC1,-2.3524723,0.04019845,0.789636271
FAT2,-2.2425568,0.040236442,0.789266389
TMEM38A,-1.4928194,0.040298413,0.789784927
PPA1,-1.307803,0.040344616,0.790133013
PKIA,-2.6860778,0.04038252,0.790179035
DES,-1.8565195,0.040413537,0.790507569
SAAL1,-1.6849563,0.040427606,0.790643581
TNNT3,-1.4484438,0.040428713,0.790526103
ABCA8,-1.6252915,0.040432437,0.790320793
ODZ2,-4.398771,0.040510161,0.79086623
LOC285548,-1.6664925,0.040526762,0.790773548
ZNF507,-1.2457689,0.040527513,0.790649364
RFX1,-1.1516844,0.040541666,0.790786656
FAM200B,-1.1245191,0.040543874,0.790690922
EIF2S1,-1.2885787,0.040547896,0.790630616
FLJ40606,-1.2218788,0.040560299,0.790594993
AKAP14,-1.5382253,0.040597016,0.79103318
HS3ST2,-3.21957,0.040617571,0.791294949
BDNF,-1.5854163,0.040658157,0.791391912
REEP2,-2.2407334,0.040670776,0.791360286
LOC729722,-1.3280212,0.040672055,0.791246635
LOC730465,-1.3280212,0.040672055,0.791246635
STAM,-1.1689597,0.040690615,0.791330627
MYL7,-1.6194205,0.04071432,0.791376146
ACOX1,-1.2206678,0.040729121,0.791386984
IL13RA1,-1.6863227,0.040734443,0.791352019
RASD2,-1.3160491,0.040739165,0.791305407
C7orf51,-1.138913,0.040753921,0.791453673
RASAL2,-2.0263588,0.04077087,0.791506188
LOC650095,-1.091927,0.0407977,0.791612151
KIF1B,-2.9631748,0.040822305,0.791951287
C3orf58,-2.227473,0.040833075,0.791883735
CD163,-1.4669235,0.040841374,0.791768326
EGR4,-2.1862538,0.040868761,0.792022903
ZNF614,-1.3133218,0.040921052,0.792207332
NFAM1,-1.3158474,0.040949384,0.792065865
C4orf47,-1.5408009,0.040962616,0.792183915
RCN3,-2.250695,0.041022023,0.792229796
LOC100129194,-1.6732761,0.041070934,0.792485738
TMEM198,-1.1499832,0.041102306,0.79254062
CHML,-1.5874933,0.041163211,0.792752071
YY1AP1,-1.1433561,0.041180029,0.792801166
FBXO25,-1.5238726,0.041185083,0.79276113
C11orf39,-1.3575803,0.041217353,0.793107517
GABRG1,-1.4850363,0.041292785,0.793459815
SMAD4,-1.3764772,0.041305586,0.793294265
C21orf84,-1.3432206,0.041329115,0.793334808
SLC35F5,-1.899885,0.041357374,0.793603081
KIAA1644,-1.5008669,0.041357967,0.793477453
C9orf21,-2.0804815,0.04137132,0.793459641
TFAP2B,-3.801645,0.041383023,0.793410219
HLX,-1.241061,0.041399423,0.793587723
IL31,-1.349589,0.041453968,0.793948517
ADARB2,-1.5480679,0.04150117,0.79430495
LOC100288394,-1.7736884,0.041515847,0.794175505
TXNRD1,-1.5714726,0.041539628,0.794220249
RGPD8,-1.5142295,0.041546837,0.794221431
CMTM8,-1.5190886,0.041550604,0.794156819
CDK2AP1,-1.715913,0.041564391,0.794283717
ZNF280C,-1.2830467,0.041582552,0.794084533
SAR1A,-1.6950006,0.041629446,0.794570419
INHBC,-1.0955099,0.041637778,0.794592952
PDE2A,-1.6836009,0.041652727,0.794741764
RNF182,-4.8426485,0.041683849,0.794926093
POSTN,-6.8115172,0.041696933,0.794902785
LOC283658,-3.355963,0.041740579,0.795461912
PIGY,-1.2169559,0.041740878,0.795331213
SIKE1,-1.7313517,0.041758075,0.794977321
CSDA,-3.5946388,0.041836214,0.795647026
RHD,-1.5986483,0.041882839,0.795308735
MPZL1,-1.9374533,0.0419157,0.795660805
CGB1,-1.5516207,0.041921615,0.795637159
LOC100129656,-1.7152262,0.041922589,0.795519788
AEN,-1.4666208,0.041929257,0.795510464
CDA,-1.2476113,0.0419414,0.795469224
IREB2,-1.1631038,0.041976986,0.795600984
STX11,-1.4181846,0.042013951,0.796165801
SPARC,-2.080748,0.042024492,0.796094046
CALM1,-1.1722286,0.042047777,0.795721241
KANK4,-9.849265,0.042051374,0.795518356
SLC26A4,-1.278656,0.042107863,0.796180375
MYLIP,-1.5008715,0.042161967,0.796390319
ULK2,-1.3510901,0.042185247,0.796559257
ANAPC1,-1.1897947,0.042194893,0.796470713
CXorf23,-1.9990547,0.042216945,0.796481079
KLHL2,-2.8265321,0.042257558,0.796976685
MAP3K3,-1.2274997,0.04226098,0.79690597
TSHZ3,-4.69979,0.042285943,0.797241402
PRIMA1,-2.3255172,0.042296908,0.797312854
C7orf30,-1.8188254,0.042304211,0.797180069
TNFSF4,-3.9336855,0.042318392,0.797312076
MYOM3,-1.4222388,0.042333785,0.797466892
CAMTA1,-1.138261,0.042353029,0.797558995
ZCCHC14,-1.4817824,0.042369811,0.797604698
ST6GALNAC3,-1.7826316,0.042435995,0.798039435
SGTB,-1.6095111,0.042436604,0.797915859
UBE2Q2P1,-1.8708285,0.042472862,0.797922534
RGPD3,-1.5649784,0.042504754,0.798251788
FGF7,-2.002876,0.042509838,0.798212354
GCFC1,-1.3240435,0.042533098,0.79837929
TNS1,-2.1436172,0.042546847,0.798232863
FGFR1,-1.7563046,0.042559733,0.798339847
USP32,-1.654511,0.042577228,0.798398457
GAST,-1.1383376,0.042582167,0.798356355
MBTPS2,-1.1836523,0.042583972,0.798255529
ELOVL4,-2.314059,0.042588086,0.798197988
MPL,-1.2883488,0.042595341,0.79806476
TCF7L1,-7.1157355,0.042595537,0.797933893
ERO1LB,-3.4786482,0.042603432,0.797812803
PXDNL,-2.5919726,0.04260943,0.797790676
FNBP1L,-1.8384552,0.042667811,0.798480161
CLP1,-1.7638284,0.042672562,0.798434595
MED26,-1.2379892,0.042716015,0.798978583
OR51E1,-2.417343,0.04273922,0.799009151
MMP26,-1.7586248,0.042765541,0.798963552
MS4A6A,-1.5532749,0.042771912,0.79894825
PHACTR2,-2.3164005,0.042808494,0.798825909
C20orf96,-2.1375859,0.04280917,0.798704406
FAT4,-1.3005421,0.042873941,0.79857207
DCLK2,-2.0399125,0.042876275,0.798481693
DMGDH,-2.238925,0.042895149,0.798565532
IGSF1,-1.3641996,0.042918422,0.798597427
SPAG9,-1.3060683,0.042970886,0.798771129
ANGPTL2,-2.730744,0.042994999,0.798818475
SYN2,-1.0743614,0.04302809,0.798765523
LOC400986,-1.9148386,0.043047602,0.798860839
LOC219731,-1.6755575,0.043056922,0.798767
ZNF124,-1.7712123,0.043067877,0.798836872
GLT8D2,-5.493213,0.043073985,0.798816828
MTAP,-1.5003405,0.043075119,0.798704569
GPR87,-3.7378879,0.043080278,0.798666946
ZNF215,-2.321015,0.043152952,0.79934747
PDGFRA,-2.177215,0.043157857,0.799305096
BMP2K,-1.7113119,0.043194977,0.799193374
RSPO3,-2.0770385,0.043202849,0.799072933
LOC728853,-2.6340458,0.043250953,0.799430412
AQP1,-1.4438132,0.043253585,0.799346108
TMEM38B,-4.738124,0.043285027,0.799129762
KLF11,-1.6663978,0.043306946,0.79940163
LIX1,-1.2262411,0.043328708,0.799537697
CPA1,-1.0960625,0.043340793,0.799229827
CEP57,-1.4780031,0.043348014,0.799230355
HOXA3,-5.5092616,0.043350411,0.799141957
TUBA4B,-1.2922997,0.043423147,0.799819378
KIAA1524,-1.7720455,0.043424638,0.799714299
FNDC5,-1.6074597,0.043484428,0.799490427
FBLN1,-1.2479304,0.04352468,0.799701224
COX4I1,-1.2193036,0.04353088,0.799682918
TNFAIP6,-7.234638,0.043548109,0.799602852
CCDC73,-1.260281,0.043566717,0.799680268
PPFIA2,-2.9765034,0.043599118,0.799746588
ORM2,-1.9321128,0.043602938,0.799684641
FAM133A,-1.6108481,0.043618915,0.799845666
PHF8,-1.3817343,0.043628627,0.799891751
NOTCH4,-1.9290682,0.043650123,0.799889939
PNPLA3,-2.8153496,0.043660736,0.799820633
NOP14,-1.4865366,0.04367009,0.799860125
LRRC40,-1.2985698,0.0436758,0.799832878
DIS3L2,-1.6382058,0.043717764,0.800205756
CALR,-1.3074592,0.04374242,0.800129863
BCL2L10,-2.154556,0.043807012,0.800389117
C6orf162,-1.3554431,0.043809819,0.800308811
KCNC1,-2.5121531,0.043845842,0.800309052
PRRX2,-2.8564346,0.043849405,0.800242647
RASD1,-5.755326,0.043883263,0.800334782
KIAA1107,-1.4532719,0.043899555,0.800237911
GPX8,-1.3253175,0.043906181,0.799964998
APOL5,-1.4276918,0.043923269,0.800013998
NHEDC2,-2.595252,0.044001744,0.800655942
LINS1,-1.2341955,0.04400932,0.800662689
YTHDC2,-1.7789222,0.044034002,0.800325553
TMEM174,-1.0827575,0.044041429,0.800329632
DNAH8,-1.1474062,0.044041685,0.800203433
CYP51A1,-1.6749483,0.044043734,0.800109832
ZNF275,-1.0348617,0.044051252,0.799984842
PGM5,-1.2852011,0.044060379,0.799758498
NT5DC3,-1.177319,0.044062167,0.799660326
ARHGEF9,-1.2095573,0.044074474,0.799622491
11-Mar,-2.1007054,0.044078764,0.79956978
SOCS3,-1.5216755,0.044104805,0.799911582
MAPKAPK2,-1.5124758,0.044117626,0.799622083
PSG3,-1.2409981,0.044139049,0.799488751
SLITRK5,-2.108408,0.044139223,0.799361615
C20orf202,-1.4928529,0.044147216,0.799245867
APOBEC3A,-3.1754227,0.04421907,0.799374614
ENPP3,-1.3671907,0.044234996,0.799532442
BEST2,-1.0504532,0.044285518,0.799535276
FAM115A,-1.4823129,0.044286809,0.799428709
NR3C1,-1.2568154,0.044290302,0.799232091
ZNF146,-1.310997,0.044365385,0.799807698
MORF4L1,-1.2125632,0.044386812,0.799934427
HEPH,-5.5319576,0.044413545,0.800026959
CIITA,-1.4119648,0.044422559,0.800059651
PRIM2,-1.1521189,0.04442382,0.79995271
EFNB3,-2.496719,0.044427576,0.799890722
TMEM185A,-1.2663378,0.044438908,0.799835563
ZSCAN5A,-1.729519,0.044457361,0.800038113
MICALL1,-1.5359018,0.044466371,0.799682241
COL1A2,-4.5985804,0.04447002,0.79961845
CCDC112,-1.3030108,0.044495869,0.799565725
DPYS,-1.6047215,0.044514254,0.799508229
MATN2,-3.1149192,0.044561798,0.799974255
ZNF618,-1.7309959,0.044581466,0.79981051
ASTN1,-1.0917449,0.044587529,0.799790147
OR1C1,-1.2058139,0.044592269,0.799746082
FLJ11710,-1.1108571,0.044732847,0.800587562
RHOXF2,-1.416341,0.044758862,0.800537427
RHOXF2B,-1.416341,0.044758862,0.800537427
SH3GLB1,-1.4605753,0.044766237,0.800411677
SPIRE1,-1.5487287,0.044772014,0.800257447
PNMAL1,-1.4002172,0.044805041,0.800461501
SORCS2,-3.6933236,0.044828615,0.800625237
SLC36A1,-1.2487216,0.044847839,0.800196913
PVRL4,-1.6468011,0.04488749,0.800390335
MUTED,-1.2674462,0.044888814,0.800285519
MAGEE2,-1.2028795,0.044892803,0.800228254
PTPRE,-3.5128627,0.044896976,0.800045962
LSG1,-1.6970874,0.044921669,0.800101075
HABP4,-1.5362629,0.044950098,0.800479127
CABIN1,-1.917044,0.044952677,0.80026855
JAM2,-2.039871,0.045003913,0.800155166
PTPN2,-1.3633721,0.045024133,0.800130622
UGT8,-1.7019252,0.045048447,0.800434692
ATF7,-1.3410271,0.045054063,0.800278561
ABCA6,-2.2266958,0.045057488,0.800211476
PAX9,-1.4285586,0.045065577,0.800099396
LOC646871,-1.5438297,0.045071981,0.800085261
PAIP2B,-1.2496054,0.045079896,0.799970176
LOC643650,-1.5988221,0.04510185,0.800104235
THUMPD3,-1.1463462,0.045110057,0.799994394
SMN2,-1.3777696,0.045166723,0.79997796
SMN1,-1.3777696,0.045166723,0.79997796
RUFY2,-1.2887808,0.045215455,0.800203374
TRY6,-1.4356871,0.045235234,0.800425941
SIK3,-1.0939095,0.045239595,0.800375661
KALRN,-2.1735823,0.045262416,0.800269762
SERTAD2,-1.5114287,0.045274807,0.800361503
OR4N4,-1.3873523,0.045280543,0.800335578
MESP1,-1.5860597,0.045301237,0.800446713
BCL7A,-1.1892674,0.045303682,0.800235433
CD2AP,-2.464283,0.045306182,0.800152393
TTTY3,-2.1969335,0.045307573,0.800049803
TTTY3B,-2.1969335,0.045307573,0.800049803
ITM2C,-1.438906,0.045311116,0.799985245
TRIM56,-1.1024618,0.045335123,0.799900744
CSNK1G2,-1.4484464,0.045373717,0.800327549
B4GALT5,-1.2863405,0.045378569,0.800286107
RPL38,-1.3905267,0.045380885,0.800199946
RBPJ,-1.3562882,0.045391539,0.800260826
ITLN2,-1.2508141,0.045402658,0.799949199
SCARA5,-4.999584,0.045435093,0.800393756
LOC440995,-2.1639445,0.045450416,0.800536787
D4S234E,-1.913478,0.045456108,0.800510161
BMP8A,-1.9698164,0.045458574,0.800426732
EP300,-1.2190753,0.045485701,0.80052385
BEND2,-1.8243072,0.045485875,0.800400142
JARID2,-1.1783919,0.045486835,0.800163613
OR10J5,-1.3595634,0.045491969,0.800127273
SPOCK1,-3.9443681,0.045519351,0.800355507
FLJ40330,-2.2590468,0.045520723,0.800253021
KLHL7,-2.0148125,0.04552662,0.80023008
DUOXA1,-2.8187745,0.045537566,0.800042831
RTTN,-1.1642133,0.045543014,0.80001206
EPHA6,-1.4584957,0.0455709,0.800122475
FKBP9,-1.3898302,0.045582166,0.800067443
FKBP9L,-1.3898302,0.045582166,0.800067443
LNPEP,-1.4684043,0.04565914,0.800407099
FZD10,-3.000335,0.045689561,0.800687761
TULP4,-1.6326218,0.045711398,0.800817859
MEF2C,-2.7483323,0.045743404,0.800747371
CREM,-1.3843477,0.045751081,0.800629504
SEMA5B,-1.6462886,0.045816945,0.800899229
CATSPER1,-1.0863816,0.045818806,0.800805788
HIC1,-1.8917791,0.045824754,0.800783784
C9orf40,-1.5581111,0.045853106,0.801027307
LOC100272217,-1.156867,0.045853983,0.80091671
IMP4,-1.0927191,0.04585945,0.800760482
BRI3BP,-1.1739953,0.045887791,0.800877802
ACTR2,-2.003379,0.045888798,0.800769606
